Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 12
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 62529, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.4200
Accuracy: 0.9629326718
Detection Rate: 0.8865895686
False Positive Rate: 0.0085476698

--- Per-Round Attention Weights ---
  Client 2: DR=0.8706, FPR=0.0083, Score=0.8634
  Client 3: DR=0.8720, FPR=0.0083, Score=0.8648
  Client 4: DR=0.8605, FPR=0.0083, Score=0.8534
  Client 5: DR=0.8660, FPR=0.0076, Score=0.8595
  Client 6: DR=0.8526, FPR=0.0076, Score=0.8462
  Client 7: DR=0.8563, FPR=0.0083, Score=0.8492
  Client 8: DR=0.8563, FPR=0.0083, Score=0.8492
  Client 9: DR=0.8585, FPR=0.0076, Score=0.8520
  Client 10: DR=0.8604, FPR=0.0076, Score=0.8539
  Client 11: DR=0.8563, FPR=0.0083, Score=0.8492
Round 13: α = [0.0833487031379833, 0.0833487031379833, 0.08339960721996527, 0.0833487031379833, 0.08335597915952545, 0.08322938148804213, 0.08322938148804213, 0.08335576514982614, 0.08335576514982614, 0.08339939294770675, 0.0832799148451327, 0.0833487031379833]
  Client 0: DR=0.8719, FPR=0.0083, Score=0.8647
  Client 1: DR=0.8719, FPR=0.0083, Score=0.8647
  Client 2: DR=0.8719, FPR=0.0076, Score=0.8653
  Client 3: DR=0.8719, FPR=0.0083, Score=0.8647
  Client 4: DR=0.8720, FPR=0.0083, Score=0.8648
  Client 5: DR=0.8705, FPR=0.0083, Score=0.8633
  Client 6: DR=0.8705, FPR=0.0083, Score=0.8633
  Client 7: DR=0.8720, FPR=0.0083, Score=0.8648
  Client 8: DR=0.8720, FPR=0.0083, Score=0.8648
  Client 9: DR=0.8719, FPR=0.0076, Score=0.8653
  Client 10: DR=0.8705, FPR=0.0076, Score=0.8639
  Client 11: DR=0.8719, FPR=0.0083, Score=0.8647
Round 14: α = [0.08332682804563771, 0.08334617008681394, 0.08333923737655635, 0.08333354594036718, 0.08333354594036718, 0.08334617008681394, 0.08330188700358748, 0.08336488361292864, 0.08330188700358748, 0.08333354594036718, 0.08333319007509515, 0.08333910888787767]
  Client 0: DR=0.8722, FPR=0.0083, Score=0.8650
  Client 1: DR=0.8725, FPR=0.0083, Score=0.8653
  Client 2: DR=0.8724, FPR=0.0083, Score=0.8652
  Client 3: DR=0.8723, FPR=0.0083, Score=0.8651
  Client 4: DR=0.8723, FPR=0.0083, Score=0.8651
  Client 5: DR=0.8725, FPR=0.0083, Score=0.8653
  Client 6: DR=0.8719, FPR=0.0083, Score=0.8647
  Client 7: DR=0.8721, FPR=0.0076, Score=0.8655
  Client 8: DR=0.8719, FPR=0.0083, Score=0.8647
  Client 9: DR=0.8723, FPR=0.0083, Score=0.8651
  Client 10: DR=0.8717, FPR=0.0076, Score=0.8651
  Client 11: DR=0.8724, FPR=0.0083, Score=0.8652
Round 15: α = [0.08334024075868542, 0.08335231740011206, 0.08333668822924493, 0.08335842202971051, 0.0833124289768512, 0.08330558442338304, 0.08337594496210987, 0.08330216235752035, 0.0833124289768512, 0.0833124289768512, 0.08335680425642997, 0.08333454865225025]
  Client 0: DR=0.8729, FPR=0.0083, Score=0.8657
  Client 1: DR=0.8731, FPR=0.0083, Score=0.8658
  Client 2: DR=0.8729, FPR=0.0083, Score=0.8657
  Client 3: DR=0.8725, FPR=0.0076, Score=0.8659
  Client 4: DR=0.8726, FPR=0.0083, Score=0.8654
  Client 5: DR=0.8725, FPR=0.0083, Score=0.8653
  Client 6: DR=0.8734, FPR=0.0083, Score=0.8661
  Client 7: DR=0.8724, FPR=0.0083, Score=0.8652
  Client 8: DR=0.8726, FPR=0.0083, Score=0.8654
  Client 9: DR=0.8726, FPR=0.0083, Score=0.8654
  Client 10: DR=0.8725, FPR=0.0076, Score=0.8659
  Client 11: DR=0.8728, FPR=0.0083, Score=0.8656
Round 16: α = [0.08334303454545647, 0.08329381457152275, 0.08330087187079731, 0.08330087187079731, 0.08334303454545647, 0.08334303454545647, 0.08334303454545647, 0.08335010098016761, 0.08334303454545647, 0.08334453343608907, 0.08334303454545647, 0.08335159999788716]
  Client 0: DR=0.8730, FPR=0.0076, Score=0.8664
  Client 1: DR=0.8730, FPR=0.0083, Score=0.8658
  Client 2: DR=0.8731, FPR=0.0083, Score=0.8659
  Client 3: DR=0.8731, FPR=0.0083, Score=0.8659
  Client 4: DR=0.8730, FPR=0.0076, Score=0.8664
  Client 5: DR=0.8730, FPR=0.0076, Score=0.8664
  Client 6: DR=0.8730, FPR=0.0076, Score=0.8664
  Client 7: DR=0.8731, FPR=0.0076, Score=0.8665
  Client 8: DR=0.8730, FPR=0.0076, Score=0.8664
  Client 9: DR=0.8730, FPR=0.0076, Score=0.8664
  Client 10: DR=0.8730, FPR=0.0076, Score=0.8664
  Client 11: DR=0.8731, FPR=0.0076, Score=0.8665
Round 17: α = [0.08340330326477824, 0.08338115377906714, 0.08311316364465265, 0.08343712809650172, 0.0831570344783777, 0.08344544552584202, 0.08338115377906714, 0.08333022294596534, 0.08338115377906714, 0.08312149191606066, 0.08344544552584202, 0.08340330326477824]
  Client 0: DR=0.8765, FPR=0.0076, Score=0.8699
  Client 1: DR=0.8763, FPR=0.0076, Score=0.8696
  Client 2: DR=0.8730, FPR=0.0076, Score=0.8664
  Client 3: DR=0.8776, FPR=0.0083, Score=0.8703
  Client 4: DR=0.8736, FPR=0.0076, Score=0.8669
  Client 5: DR=0.8770, FPR=0.0076, Score=0.8704
  Client 6: DR=0.8763, FPR=0.0076, Score=0.8696
  Client 7: DR=0.8763, FPR=0.0083, Score=0.8690
  Client 8: DR=0.8763, FPR=0.0076, Score=0.8696
  Client 9: DR=0.8731, FPR=0.0076, Score=0.8665
  Client 10: DR=0.8770, FPR=0.0076, Score=0.8704
  Client 11: DR=0.8765, FPR=0.0076, Score=0.8699
Round 18: α = [0.08334937552157402, 0.08331375527036787, 0.08335066036354204, 0.08333567177287587, 0.08333567177287587, 0.08333567177287587, 0.08333567177287587, 0.08333567177287587, 0.08335066036354204, 0.08330647788539058, 0.08331354122055952, 0.08333717051064447]
  Client 0: DR=0.8776, FPR=0.0076, Score=0.8709
  Client 1: DR=0.8771, FPR=0.0076, Score=0.8705
  Client 2: DR=0.8776, FPR=0.0076, Score=0.8709
  Client 3: DR=0.8774, FPR=0.0076, Score=0.8707
  Client 4: DR=0.8774, FPR=0.0076, Score=0.8707
  Client 5: DR=0.8774, FPR=0.0076, Score=0.8707
  Client 6: DR=0.8774, FPR=0.0076, Score=0.8707
  Client 7: DR=0.8774, FPR=0.0076, Score=0.8707
  Client 8: DR=0.8776, FPR=0.0076, Score=0.8709
  Client 9: DR=0.8770, FPR=0.0076, Score=0.8704
  Client 10: DR=0.8771, FPR=0.0076, Score=0.8705
  Client 11: DR=0.8774, FPR=0.0076, Score=0.8708
Round 19: α = [0.08334445245827911, 0.08334445245827911, 0.08332933697913034, 0.08333096330778858, 0.08334282556400803, 0.08332933697913034, 0.08332933697913034, 0.08332912289221024, 0.08333074921189165, 0.08333074921189165, 0.08332933697913034, 0.08332933697913034]
  Client 0: DR=0.8776, FPR=0.0076, Score=0.8709
  Client 1: DR=0.8776, FPR=0.0076, Score=0.8709
  Client 2: DR=0.8774, FPR=0.0076, Score=0.8708
  Client 3: DR=0.8774, FPR=0.0076, Score=0.8708
  Client 4: DR=0.8776, FPR=0.0076, Score=0.8709
  Client 5: DR=0.8774, FPR=0.0076, Score=0.8708
  Client 6: DR=0.8774, FPR=0.0076, Score=0.8708
  Client 7: DR=0.8774, FPR=0.0076, Score=0.8708
  Client 8: DR=0.8774, FPR=0.0076, Score=0.8708
  Client 9: DR=0.8774, FPR=0.0076, Score=0.8708
  Client 10: DR=0.8774, FPR=0.0076, Score=0.8708
  Client 11: DR=0.8774, FPR=0.0076, Score=0.8708
Round 20: α = [0.08321595183439078, 0.08356496298802349, 0.08356496298802349, 0.08321595183439078, 0.083564748290929, 0.08322942236746693, 0.08354435458206771, 0.08320889671099223, 0.08321595183439078, 0.08321595183439078, 0.08322942236746693, 0.08322942236746693]
  Client 0: DR=0.8774, FPR=0.0076, Score=0.8708
  Client 1: DR=0.8816, FPR=0.0076, Score=0.8750
  Client 2: DR=0.8816, FPR=0.0076, Score=0.8750
  Client 3: DR=0.8774, FPR=0.0076, Score=0.8708
  Client 4: DR=0.8816, FPR=0.0076, Score=0.8750
  Client 5: DR=0.8776, FPR=0.0076, Score=0.8709
  Client 6: DR=0.8814, FPR=0.0076, Score=0.8747
  Client 7: DR=0.8773, FPR=0.0076, Score=0.8707
  Client 8: DR=0.8774, FPR=0.0076, Score=0.8708
  Client 9: DR=0.8774, FPR=0.0076, Score=0.8708
  Client 10: DR=0.8776, FPR=0.0076, Score=0.8709
  Client 11: DR=0.8776, FPR=0.0076, Score=0.8709
